Registration Group,Support Item,Support Item Number,Support Item Description,Unit of Measure,Quote,Price,Price Control,Support Categories,Support Category Number
Home Modification                                           ,free standing vertical lifting platform- home,06_183007386_0111_2_2,non enclosed lifting platform similar to a lift usually traversing smaller distances than an enclosed lift/ elevator,Each,Y,,N,Home modifications,6
Home Modification                                           ,stair lift with seat,06_183010387_0111_2_2,seat and rails attached to stairs or incline for ambulant person to ride up stairs on,Each,Y,,N,Home modifications,6
Home Modification                                           ,stair lift with platform,06_183011388_0111_2_2,platform attached to rail or track to traverse person over stairs to upper or lower levels,Each,Y,,N,Home modifications,6
Assist Prod-Pers Care/Safety,ramp portable fibre glass 1200mm,06_183015389_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,ramp portable fibre glass 1650mm,06_183015390_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,ramp portable fibre glass 1350mm,06_183015391_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,ramp portable fibre glass 2000mm,06_183015392_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,Y,,N,Home modifications,6
Assist Prod-Pers Care/Safety,ramp portable fibre glass 2000mm with edge,06_183015393_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,Y,,N,Home modifications,6
Assist Prod-Pers Care/Safety,ramp portable fibre glass 875mm,06_183015394_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Assist Prod-Pers Care/Safety,ramp portable fibre glass 700mm,06_183015395_0103_2_2,portable ramp suitable for outings etc but not permanently affixed,Each,N,,N,Home modifications,6
Home Modification                                           ,ramps timber with galvanised rails- 300 per lineal meter,06_183018396_0111_2_2,permanently installed timber ramp with galvanised rails,Each,Y,,N,Home modifications,6
Home Modification                                           ,ramps concrete with galvanised rails- 400 per lineal meter,06_183018397_0111_2_2,permanently installed concrete ramp with galvanised rails,Each,Y,,N,Home modifications,6
Home Modification                                           ,ramps modular aluminium removable 2400mm x 1200 mm,06_183018398_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification                                           ,ramps modular aluminium removable 600mm x 1200 mm,06_183018399_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification                                           ,ramps modular aluminium removable 2400mm x 1800 (landing) mm,06_183018400_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification                                           ,ramps modular aluminium removable 1200mm x 1200 (landing) mm,06_183018401_0111_2_2,temporary removable ramps which are not portable,Each,Y,,N,Home modifications,6
Home Modification                                           ,home mods- minor step ramp mod supply and fit landings and risers,06_183018402_0111_2_2,,Each,N,,N,Home modifications,6
Home Modification                                           ,"home mods- minor step ramp mod supply & fit landings, risers & bilateral h'rails",06_183018403_0111_2_2,,Each,N,,N,Home modifications,6
Home Modification                                           ,slip resistant tile coating- approx. 5m x 5m,06_183315404_0111_2_2,,Each,N,,N,Home modifications,6
Home Modification                                           ,certification or approval of home modifications,06_405_0111_2_2,Certifier independent of a builder who can advise on the compliance of plans with the necessary work undertaken.,Each,Y,,N,Home modifications,6
Home Modification                                           ,home modifications project manager or building certifier,06_406_0111_2_2,Project manager or building certifier employed to ensure compliance with modifications plans to allow home access by person with disability,Each,Y,,N,Home modifications,6
Home Modification                                           ,consultation about home modification designs with builder,06_407_0111_2_2,"drawings or plans which allow agreement to be confirmed, e.g. modifications and for quotes to be obtained",Each,N,,N,Home modifications,6
Home Modification                                           ,project management of home modifications,06_408_0111_2_2,"Project manager or certifier independent of a builder, who can provide advice on compliance of the plans with work undertaken and can co-ordinate quotes and payments.",Each,Y,,N,Home modifications,6
Specialised Disability Accommodation                        ,Specialist Disability Accommodation,06_431_0131_2_2,"SDA is an adjusted contribution to the cost of the physical building, including the land it is on. The quote will reflect unique dwelling price based on the SDA enrolment process.",Each,Y,,N,Home modifications,6
Specialised Disability Accommodation                        ,SDA Vacancy,06_432_0131_2_2,"A temporary payment for providers, available in limited circumstances when a participant moves out of an SDA dwelling accommodates 4 or more residents.",Each,Y,,N,Home modifications,6
Specialised Disability Accommodation,SDA - Support Coordination,06_433_0131_2_2,SDA - Support Coordination,Hour,Y,,N,Home modifications,6
"Assist-Life Stage, Transition                               ",support connection,07_001_0106_8_3,"Assistance to strengthen participant’s abilities to coordinate supports & participate in the community. This includes resolving points of crisis, developing capacity & resilience in a participant's network & coordinating supports from a range of sources.",Hour,N,72.14,Y,Coordination of Supports,7
"Assist-Life Stage, Transition                               ",coordination of supports,07_002_0106_8_3,"Further qualifications/experience required to strengthen a higher needs participant’s ability to coordinate their supports & participate in the community. This may include resolving points of crisis, & developing resilience in the participant's network.",Hour,N,117.58,Y,Coordination of Supports,7
Development-Life Skills                                     ,training in planning and plan management,07_003_0117_8_3,training in planning and plan management for participants unable to do this independently but who could do all or part of the task with training.,Hour,N,70.17,Y,Coordination of Supports,7
Support Coordination                                        ,specialist support coordination,07_004_0132_8_3,"Time limited support coordination, within specialist framework necessitated by high risks in participant's situation, to address barriers and reduce complexity in environment, assisting to connect with supports, build capacity and resilience. ",Hour,N,223.72,Y,Coordination of Supports,7
"Assist-Life Stage, Transition                               ",assistance with accommodation and tenancy obligations,08_005_0106_2_3,"Support is provided to guide, prompt, or undertake activities to ensure the participant obtains/retains appropriate accommodation. May include assisting to apply for a rental tenancy or to undertake tenancy obligations.",Hour,N,72.14,Y,Improved living arrangements,8
"Assist-Life Stage, Transition                               ","Life transition planning incl mentoring, peer support and indiv skill devt.",09_006_0106_6_3,"Establishing volunteer assistance within the participant’s home or community to develop skills. For instance, assistance in attending appointments, shopping, bill paying, taking part in social activities and maintaining contact with others.",Hour,N,72.14,Y,Increased social and community participation,9
Development-Life Skills                                     ,Skills development in a group,09_007_0117_6_3,Training for the participant in a group of 2 or more to increase their independence in daily personal activities.,Hour,N,35.09,Y,Increased social and community participation,9
Innov Community Participation                               ,Innovative Community Participation,09_008_0116_6_3,Mainstream services that promote inclusion of people with disability to expand opportunities for community participation and employment.,Each,N,,N,Increased social and community participation,9
Development-Life Skills                                     ,individual skills development and training,09_009_0117_6_3,"Individual life skills development and training including public transport training and support, developing skills for community, social and recreational participation. ",Hour,N,70.17,Y,Increased social and community participation,9
Participate Community                                       ,community participation activities,09_010_0125_6_3,Participation in community based activities that build skills and independence.,Annual,N,,N,Increased social and community participation,9
Therapeutic Supports                                        ,Employment related assessment and counselling,10_011_0128_5_3,Workplace assessment conducted by workplace rehabilitation provider to determine adjustments or modifications to workplace or work processes to ensure employment is maintained and matches the employees capabilities,Hour,N,223.72,Y,Finding and keeping a job,10
Spec Support Employ,assistance in specialised supported employment Level 1 DMI,10_012_0133_5_3,assistance in specialised supported employment Level 1 DMI,Week,N,,N,Finding and keeping a job,10
Spec Support Employ,assistance in specialised supported employment Level 2 DMI,10_013_0133_5_3,assistance in specialised supported employment Level 2 DMI,Week,N,,N,Finding and keeping a job,10
Spec Support Employ,assistance in specialised supported employment Level 3 DMI,10_014_0133_5_3,assistance in specialised supported employment Level 3 DMI,Week,N,,N,Finding and keeping a job,10
Spec Support Employ,assistance in specialised supported employment Level 4 DMI,10_015_0133_5_3,assistance in specialised supported employment Level 4 DMI,Week,N,,N,Finding and keeping a job,10
Assist Access/Maintain Employ,individual employment support,10_016_0102_5_3,"Time limited on-the-job training & post placement support related to participant’s disability that enables them to adjust & manage demands of the job & workplace environment, & to assist employers to successfully manage the participant's placement.",Hour,N,70.78,Y,Finding and keeping a job,10
Assist Access/Maintain Employ,employment preparation and support in a group,10_017_0102_5_3,"In a group setting, build capacity by providing skills training such as transport, time/financial management, self-care to support a participant to get a job post school. *assumes group of 3",Hour,N,23.6,Y,Finding and keeping a job,10
Spec Support Employ,supported employment start-up fee (ADE),10_018_0133_5_3,supported employment start-up fee (ADE),Each,N,,N,Finding and keeping a job,10
Spec Support Employ,support in employment (ADE),10_020_0133_5_3,support in employment (ADE),Each,N,,N,Finding and keeping a job,10
Assist Access/Maintain Employ,"School leaver employment supports (TAS,ACT,NSW,VIC)",10_021_0102_5_3,"School leaver employment supports (TAS,ACT,NSW,VIC)",Each,N,,N,Finding and keeping a job,10
Behaviour Support                                           ,Specialist behavioural intervention support,11_022_0110_7_3,"Highly specialised intensive support interventions to address significantly harmful or persistent behaviours of concern. Development of behaviour support plans that temporarily use restrictive practices, with  intention to minimise use of these practices.",Hour,N,245.56,Y,Improved relationships,11
Behaviour Support                                           ,"behaviour management plan, training in behaviour management strategies",11_023_0110_7_3,Training for carers and others in behaviour management strategies required due the persons disability.,Hour,N,223.72,Y,Improved relationships,11
Development-Life Skills                                     ,individual social skills development,11_024_0117_7_3,"Social skills development with an individual, for participation in community and social activities.",Hour,N,70.17,Y,Improved relationships,11
Therapeutic Supports                                        ,dietician consultation and diet plan development,12_025_0128_3_3,Individual advice to a participant on managing diet for health and wellbeing due to the impact of their disability,Hour,N,223.72,Y,Improved health and wellbeing,12
Therapeutic Supports                                        ,dietician group session,12_026_0128_3_3,Group based (3) specialist dietary advice on managing diet for wellbeing due to the impact of their disability,Hour,N,74.58,Y,Improved health and wellbeing,12
Ex Phys Pers Training                    ,exercise physiology,12_027_0126_3_3,Individual advice to a participant regarding exercise required due to the impact of their disability,Hour,N,182.04,Y,Improved health and wellbeing,12
Ex Phys Pers Training                    ,exercise physiology in a group,12_028_0126_3_3,advice to a participant regarding exercise required due to the impact of their disability provided in group setting (3),Hour,N,60.68,Y,Improved health and wellbeing,12
Ex Phys Pers Training                    ,personal training,12_029_0126_3_3,Personal training provided to a participant required due to the impact of their disability.,Hour,N,68.21,Y,Improved health and wellbeing,12
Assist Access/Maintain Employ,transition through school and to further education,13_030_0102_4_3,"Provision of skills training, advice, assistance with arrangements, orientation to assist a person with disability moving from school to further education",Hour,N,72.14,Y,Improved learning,13
Assistance with daily life tasks in a group or shared living arrangement,assistance with daily life tasks provided in residential aged care facility,14 020,assistance with daily life tasks provided in residential aged care facility,Each,N,,N,Improved life choices ,14
Plan Management                                             ,financial and service intermediary activities,14_031_0127_8_3,Undertaking regular liaison with providers and monitoring support provision.,Hour,N,67.66,Y,Improved life choices ,14
Plan Management                                             ,financial and service intermediary set up costs,14_032_0127_8_3,The setting up of the financial and service management arrangements to assist with the managing of funding of supports.,Each,N,409.26,Y,Improved life choices ,14
Plan Management                                             ,financial intermediary - set up costs,14_033_0127_8_3,A one-off setting up of the financial management arrangements for managing of funding of supports.,Each,N,272.84,Y,Improved life choices ,14
Plan Management                                             ,financial intermediary monthly processing,14_034_0127_8_3,A monthly fee for the ongoing maintenance of the financial management arrangements for managing of funding of supports.,Monthly,N,122.65,Y,Improved life choices ,14
"Assist-Life Stage, Transition                               ","assistance with decision making, daily planning, budgeting",15_035_0106_1_3,"Provision of time limited support to assist a person to develop and maintain daily budget, including assisting in planning purchases.",Hour,N,55.53,Y,Improved daily living skills,15
Community Nursing Care                                      ,individual assessment and support by a Nurse,15_036_0114_1_3,"Provision of care, training and supervision of a delegated worker to respond to the complex care needs of a participant where that care is not the usual responsibility of the Health System.",Hour,N,119.72,Y,Improved daily living skills,15
Development-Life Skills                                     ,"Indiv skills devt & training, includes public transport training & support",15_037_0117_1_3,Individual training provided in the home for general life skills to increase independence.,Hour,N,55.53,Y,Improved daily living skills,15
Development-Life Skills                                     ,training for carers/parents,15_038_0117_1_3,Training for carers in matters related to caring for a person with disability,Hour,N,70.17,Y,Improved daily living skills,15
Early Childhood Supports                                    ,specialised group early childhood interventions,15_039_0118_1_3,"Group based specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings. Maximum group of 4.",Hour,N,74.58,Y,Improved daily living skills,15
Early Childhood Supports,Capacity building supports for early childhood,15_040_0118_1_3,Capacity building supports for early childhood,Hour,N,223.73,Y,Improved daily living skills,15
Early Childhood Supports                                    ,transdisciplinary early childhood intervention,15_041_0118_1_3,"A coordinated & integrated program where multiple professionals share responsibility in evaluating, planning & implementing supports to improve capacity of a child with disability or developmental delay & their family. Quote based on annual amount.",Each,Y,,N,Improved daily living skills,15
Therapeutic Supports                                        ,counselling group,15_042_0128_1_3,"Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources through a group session. Assisting participants to gain their personal goals and gain greater insight into their lives. Group of 3",Hour,N,62.41,Y,Improved daily living skills,15
Therapeutic Supports                                        ,individual counselling,15_043_0128_1_3,"Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources on a one to one basis. Assist participants to work towards their personal goals and gain greater insight into their lives.",Hour,N,187.25,Y,Improved daily living skills,15
Therapeutic Supports                                        ,Group therapy.,15_044_0128_1_3,Provision of interventions by more than one professional in a group session towards the participants agreed goals. Group of 3,Hour,N,73.16,Y,Improved daily living skills,15
Therapeutic Supports                                        ,therapy assistant,15_045_0128_1_3,"Program to empower participants & improve interactions between participants & their social networks. Assistance to engage effectively in the community through a group approach to help achieve goals, gain insight into their lives & make informed decisions.",Hour,N,52.14,Y,Improved daily living skills,15
Specialised Driver Training                                 ,specialised driver training,15_046_0129_1_3,Driving lessons required due to the impact of disability. This item should be in response to a driver trained specialist Occupational Therapist Assessment.,Each,Y,123.47,N,Improved daily living skills,15
Custom Prosthetics                                      ,Selection and/or manufacture of customised or wearable technology,15_047_0135_1_3,Selection and/or manufacture of customised or wearable technology.,Hour,N,201.9,Y,Improved daily living skills,15
Therapeutic Supports                                        ,"individual assessment, therapy and/or training (includes assistive technology)",15_048_0128_1_3,"Assessment, therapy, training, fitting and any approved travel to deliver support.",Hour,N,219.46,Y,Improved daily living skills,15
Therapeutic Supports,multidisciplinary team,15_049_0128_1_3,multidisciplinary team,Each,N,,N,Improved daily living skills,15
Community Nursing Care,Continence aids: assessment recommendation and training delivered by a nurse,15_051_0114_1_3,Continence aids: assessment recommendation and training delivered by a nurse,Hour,N,119.72,Y,Improved daily living skills,15
Personal Activities High,"Temp ass to access community, social/rec -indiv higher intensity-public holiday ",01_097_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs on a public holiday.,Hour,N,127.59,Y,Assistance with social and community participation,4
Personal Activities High,"Temp ass to access community, social/rec -indiv higher intensity-weekday evening ",01_098_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs during the weekday evening.,Hour,N,66.25,Y,Assistance with social and community participation,4
Personal Activities High,"Temp ass to access community, social/rec  - indiv - higher intensity -Saturday ",01_099_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs on a Saturday.,Hour,N,82.49,Y,Assistance with social and community participation,4
Personal Activities High,"Temp ass to access community, social/rec acts - indiv higher intensity -Sundays ",01_100_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs on a Sunday.,Hour,N,104.72,Y,Assistance with social and community participation,4
Personal Activities High,"Temp ass to access community, social/rec acts - indiv higher intensity -weekdays ",01_101_0104_6_1,Individual participation support by a support worker with additional qualifications and experience relevant to the participant�s complex needs during the week.,Hour,N,60.85,Y,Assistance with social and community participation,4
Participate Community                                       ,"Temp ass to access community, social and rec  - indiv -per public holiday ",01_102_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a public holiday.",Hour,N,121,Y,Assistance with social and community participation,4
Participate Community                                       ,"Temp ass to access community, social and rec  - indiv-per weekday evening ",01_103_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,62.28,Y,Assistance with social and community participation,4
Participate Community                                       ,"Temp ass to access community, social and rec  - individual per weekdays ",01_104_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,56.93,Y,Assistance with social and community participation,4
Participate Community                                       ,"Temp assistance to access community, social and rec  - individual -Saturday ",01_105_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Saturday.",Hour,N,78.3,Y,Assistance with social and community participation,4
Participate Community                                       ,"Temp assistance to access community, social and rec  - individual -Sundays ",01_106_0125_6_1,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Sunday.",Hour,N,99.64,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,Temp group based activities in a centre - core ,01_107_0136_6_1,social and recreational activities in a centre based program,Hour,N,25.3,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,Temp group based activities in a centre - Saturday ,01_108_0136_6_1,Social and recreational activities in a centre based program on Saturdays,Hour,N,37.08,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,Temp group based activities in a centre - Sunday ,01_109_0136_6_1,social and recreational activities in a centre based program on Sundays,Hour,N,47.43,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,Temp group based activities in a centre - weekday evening ,01_110_0136_6_1,Social and recreational activities in a centre based program when the activity finishes after 8pm.,Hour,N,27.77,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp group based community, social and recreational activities ",01_111_0136_6_1,"Community, social and recreational activities in a group.",Hour,N,28.48,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp group based community, social and recreational activities - Saturday ",01_112_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays",Hour,N,39.16,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp group based community, social and recreational activities - Sunday ",01_113_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays",Hour,N,49.82,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp group based community, social and recreational activities - weekday evening ",01_114_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm",Hour,N,31.14,Y,Assistance with social and community participation,4
Participate Community                                       ,"Temp community, social and recreational activities ",01_115_0125_6_1,"Annual support to enable a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation.",Annual,N,,N,Assistance with social and community participation,4
Personal Activities High,"Temp grp based community, social and recreational activities - higher intensity ",01_116_0104_6_1,"Community, social and recreational activities in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,37.19,Y,Assistance with social and community participation,4
Personal Activities High,"Temp grp bd community, social and rec activities - higher intensity - Saturday ",01_117_0104_6_1,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,53.62,Y,Assistance with social and community participation,4
Personal Activities High,"Temp grp bd community, social and rec activities - higher intensity - Sunday ",01_118_0104_6_1,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,71.48,Y,Assistance with social and community participation,4
Personal Activities High,"Temp grp bd community, social and rec  - higher intensity - weekday evening ",01_119_0104_6_1,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 2 persons per staff member.",Hour,N,40.81,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp grp bd community, social and rec activities - ratio 1:3 ",01_120_0136_6_1,"Community, social and recreation activities in a group at a 1:3 ratio",Hour,N,18.98,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp grp bd community, social and rec activities - Saturday - ratio 1:3 ",01_121_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays at a 1:3 ratio",Hour,N,26.1,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp grp bd community, social and rec activities - Sunday - ratio 1:3 ",01_122_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays at a 1:3 ratio",Hour,N,33.2,Y,Assistance with social and community participation,4
Group /Centre Activities                          ,"Temp grp bd community, social and rec activities - weekday evening - ratio 1:3 ",01_123_0136_6_1,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm at a 1:3 ratio",Hour,N,20.77,Y,Assistance with social and community participation,4
Personal Activities High,"Temp grp bd community, social and rec activities - higher intensity - ratio 1:3 ",01_124_0104_6_1,"Community, social and recreational activities in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,24.79,Y,Assistance with social and community participation,4
Personal Activities High,"Temp grp bd community, social and rec  - higher int - Saturday - ratio 1:3 ",01_125_0104_6_1,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,35.74,Y,Assistance with social and community participation,4
Personal Activities High,"Temp grp bd community, social and rec  - higher int - Sunday - ratio 1:3 ",01_126_0104_6_1,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,47.65,Y,Assistance with social and community participation,4
Personal Activities High,"Temp grp bd community, social and rec  - higher int - weekday evening - 1:3 ",01_127_0104_6_1,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 3 persons per staff member.",Hour,N,27.21,Y,Assistance with social and community participation,4
Assist-Travel/Transport       ,Temp specialised transport to school/educational facility/employment/community ,04_050_0108_1_1,specialised transport to school/educational facility/employment/community,Day,Y,,N,Transport (auto payments),2
Assist-Travel/Transport       ,Temp- Transport ,04_051_0108_1_1,transport,Year,Y,,N,Transport (auto payments),2
