"Support Item Number","Support Item","Support Item Description","Support Categories","Unit of Measure n","Unit of Measure n+1","Quote n","Quote n+1","Price Limit n","Price Limit n+1","Price Control n","Price Control n+1","Line number n","Line number n+1"
"08_005_0106_2_3","assistance with accommodation and tenancy obligations","Support is provided to guide, prompt, or undertake activities to ensure the participant obtains/retains appropriate accommodation. May include assisting to apply for a rental tenancy or to undertake tenancy obligations.","Improved living arrangements","Hour","H","N","N","57.71","58.92","Y","Y",546,610
"09_006_0106_6_3","Life transition planning incl mentoring, peer support and indiv skill devt.","Establishing volunteer assistance within the participant�s home or community to develop skills. For instance, assistance in attending appointments, shopping, bill paying, taking part in social activities and maintaining contact with others.","Increased social and community participation","Hour","H","N","N","57.71","58.92","Y","Y",547,611
"09_007_0117_6_3","Skills development in a group","Training for the participant in a group of 2 or more to increase their independence in daily personal activities.","Increased social and community participation","Hour","H","N","N","28.07","28.66","Y","Y",548,612
"09_008_0116_6_3","Innovative Community Participation","Mainstream services that promote inclusion of people with disability to expand opportunities for community participation and employment.","Increased social and community participation","Each","EA","N","N","","","N","N",549,613
"09_009_0117_6_3","individual skills development and training","Individual life skills development and training including public transport training and support, developing skills for community, social and recreational participation.","Increased social and community participation","Hour","H","N","N","56.14","57.32","Y","Y",550,614
"09_010_0125_6_3","community participation activities","Participation in community based activities that build skills and independence.","Increased social and community participation","Annual","YR","N","N","","","N","N",551,615
"10_011_0128_5_3","Employment related assessment and counselling","Workplace assessment conducted by workplace rehabilitation provider to determine adjustments or modifications to workplace or work processes to ensure employment is maintained and matches the employees capabilities","Finding and keeping a job","Hour","H","N","N","178.98","182.74","Y","Y",552,616
"10_012_0133_5_3","assistance in specialised supported employment Level 1 DMI","assistance in specialised supported employment Level 1 DMI","Finding and keeping a job","Week","WK","N","N","","","N","N",553,617
"10_013_0133_5_3","assistance in specialised supported employment Level 2 DMI","assistance in specialised supported employment Level 2 DMI","Finding and keeping a job","Week","WK","N","N","","","N","N",554,618
"10_014_0133_5_3","assistance in specialised supported employment Level 3 DMI","assistance in specialised supported employment Level 3 DMI","Finding and keeping a job","Week","WK","N","N","","","N","N",555,619
"10_015_0133_5_3","assistance in specialised supported employment Level 4 DMI","assistance in specialised supported employment Level 4 DMI","Finding and keeping a job","Week","WK","N","N","","","N","N",556,620
"10_016_0102_5_3","individual employment support","Time limited on-the-job training & post placement support related to participant�s disability that enables them to adjust & manage demands of the job & workplace environment, & to assist employers to successfully manage the participant's placement.","Finding and keeping a job","Hour","H","N","N","56.63","57.82","Y","Y",557,621
"10_017_0102_5_3","employment preparation and support in a group","In a group setting, build capacity by providing skills training such as transport, time/financial management, self-care to support a participant to get a job post school. *assumes group of 3","Finding and keeping a job","Hour","H","N","N","18.88","19.28","Y","Y",558,622
"10_018_0133_5_3","supported employment start-up fee (ADE)","supported employment start-up fee (ADE)","Finding and keeping a job","Each","EA","N","N","","","N","N",559,623
"10_020_0133_5_3","support in employment (ADE)","support in employment (ADE)","Finding and keeping a job","Each","EA","N","N","","","N","N",560,624
"10_021_0102_5_3","School leaver employment supports (TAS,ACT,NSW,VIC)","School leaver employment supports (TAS,ACT,NSW,VIC)","Finding and keeping a job","Each","EA","N","N","","","N","N",561,625
"11_022_0110_7_3","Specialist behavioural intervention support","Highly specialised intensive support interventions to address significantly harmful or persistent behaviours of concern. Development of behaviour support plans that temporarily use restrictive practices, with  intention to minimise use of these practices.","Improved relationships","Hour","H","N","N","196.45","200.58","Y","Y",562,626
"11_023_0110_7_3","behaviour management plan, training in behaviour management strategies","Training for carers and others in behaviour management strategies required due the persons disability.","Improved relationships","Hour","H","N","N","178.98","182.74","Y","Y",563,627
"11_024_0117_7_3","individual social skills development","Social skills development with an individual, for participation in community and social activities.","Improved relationships","Hour","H","N","N","56.14","57.32","Y","Y",564,628
"12_025_0128_3_3","dietician consultation and diet plan development","Individual advice to a participant on managing diet for health and wellbeing due to the impact of their disability","Improved health and wellbeing","Hour","H","N","N","178.98","182.74","Y","Y",565,629
"12_026_0128_3_3","dietician group session","Group based (3) specialist dietary advice on managing diet for wellbeing due to the impact of their disability","Improved health and wellbeing","Hour","H","N","N","59.67","60.92","Y","Y",566,630
"12_027_0126_3_3","exercise physiology","Individual advice to a participant regarding exercise required due to the impact of their disability","Improved health and wellbeing","Hour","H","N","N","145.63","148.69","Y","Y",567,631
"12_028_0126_3_3","exercise physiology in a group","advice to a participant regarding exercise required due to the impact of their disability provided in group setting (3)","Improved health and wellbeing","Hour","H","N","N","48.54","49.56","Y","Y",568,632
"12_029_0126_3_3","personal training","Personal training provided to a participant required due to the impact of their disability.","Improved health and wellbeing","Hour","H","N","N","54.57","55.72","Y","Y",569,633
"13_030_0102_4_3","transition through school and to further education","Provision of skills training, advice, assistance with arrangements, orientation to assist a person with disability moving from school to further education","Improved learning","Hour","H","N","N","57.71","58.92","Y","Y",570,634
"14_031_0127_8_3","financial and service intermediary activities","Undertaking regular liaison with providers and monitoring support provision.","Improved life choices","Hour","H","N","N","54.13","55.27","Y","Y",572,635
"14_032_0127_8_3","financial and service intermediary set up costs","The setting up of the financial and service management arrangements to assist with the managing of funding of supports.","Improved life choices","Each","EA","N","N","327.41","334.29","Y","Y",573,636
"14_033_0127_8_3","financial intermediary - set up costs","A one-off setting up of the financial management arrangements for managing of funding of supports.","Improved life choices","Each","EA","N","N","218.27","222.85","Y","Y",574,637
"14_034_0127_8_3","financial intermediary monthly processing","A monthly fee for the ongoing maintenance of the financial management arrangements for managing of funding of supports.","Improved life choices","Monthly","MON","N","N","98.12","100.18","Y","Y",575,638
"15_035_0106_1_3","assistance with decision making, daily planning, budgeting","Provision of time limited support to assist a person to develop and maintain daily budget, including assisting in planning purchases.","Improved daily living skills","Hour","H","N","N","44.43","45.36","Y","Y",576,639
"15_036_0114_1_3","individual assessment and support by a Nurse","Provision of care, training and supervision of a delegated worker to respond to the complex care needs of a participant where that care is not the usual responsibility of the Health System.","Improved daily living skills","Hour","H","N","N","95.77","97.78","Y","Y",577,640
"15_037_0117_1_3","Indiv skills devt & training, includes public transport training & support","Individual training provided in the home for general life skills to increase independence.","Improved daily living skills","Hour","H","N","N","44.43","45.36","Y","Y",578,641
"15_038_0117_1_3","training for carers/parents","Training for carers in matters related to caring for a person with disability","Improved daily living skills","Hour","H","N","N","56.14","57.32","Y","Y",579,642
"15_039_0118_1_3","specialised group early childhood interventions","Group based specialist interventions to assist a child with disability or developmental delay and their family in home, care, community and education settings. Maximum group of 4.","Improved daily living skills","Hour","H","N","N","59.67","60.92","Y","Y",580,643
"15_040_0118_1_3","Capacity building supports for early childhood","Capacity building supports for early childhood","Improved daily living skills","Hour","H","N","N","178.98","182.74","Y","Y",581,644
"15_041_0118_1_3","transdisciplinary early childhood intervention","A coordinated & integrated program where multiple professionals share responsibility in evaluating, planning & implementing supports to improve capacity of a child with disability or developmental delay & their family. Quote based on annual amount.","Improved daily living skills","Each","EA","Y","Y","","","N","N",582,645
"15_042_0128_1_3","counselling group","Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources through a group session. Assisting participants to gain their personal goals and gain greater insight into their lives. Group of 3","Improved daily living skills","Hour","H","N","N","49.93","50.98","Y","Y",583,646
"15_043_0128_1_3","individual counselling","Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources on a one to one basis. Assist participants to work towards their personal goals and gain greater insight into their lives.","Improved daily living skills","Hour","H","N","N","149.8","152.95","Y","Y",584,647
"15_044_0128_1_3","Group therapy.","Provision of interventions by more than one professional in a group session towards the participants agreed goals. Group of 3","Improved daily living skills","Hour","H","N","N","58.53","59.76","Y","Y",585,648
"15_045_0128_1_3","therapy assistant","Program to empower participants & improve interactions between participants & their social networks. Assistance to engage effectively in the community through a group approach to help achieve goals, gain insight into their lives & make informed decisions.","Improved daily living skills","Hour","H","N","N","41.71","42.59","Y","Y",586,649
"15_046_0129_1_3","specialised driver training","Driving lessons required due to the impact of disability. This item should be in response to a driver trained specialist Occupational Therapist Assessment.","Improved daily living skills","Each","EA","Y","Y","98.78","","N","N",587,650
"15_047_0135_1_3","Selection and/or manufacture of customised or wearable technology","Selection and/or manufacture of customised or wearable technology.","Improved daily living skills","Hour","H","N","N","161.52","164.91","Y","Y",588,651
"15_048_0128_1_3","individual assessment, therapy and/or training (includes assistive technology)","Assessment, therapy, training, fitting and any approved travel to deliver support.","Improved daily living skills","Hour","H","N","N","175.57","179.26","Y","Y",589,652
"15_049_0128_1_3","multidisciplinary team","multidisciplinary team","Improved daily living skills","Each","EA","N","N","","","N","N",590,653
"15_051_0114_1_3","Continence aids:�assessment recommendation and training delivered by a nurse","","Improved daily living skills","Hour","H","N","N","95.77","97.78","Y","Y",591,654
