Registration Group,Support Item Number,Support Item,Support Item Description,Unit of Measure,Quote,Price Limit,Price Control,Support Categories,Support Category Number
Personal Mobility Equipment,05_181088195_0105_1_2,Custom Made Postural Seating System,"For example, moulded or shaped back support or seat.",EA,Y,,N,Assistive technology,05
Personal Mobility Equipment,05_181088196_0105_1_2,Customised Postural Seating System,"For example, moulded or shaped back support and seats with components individually aligned for participant.",EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181210197_0103_1_2,Beds - Power Adjust,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181210199_0103_1_2,Beds - Power Adjust - Child,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181210200_0103_1_2,Beds - Extra Width Or Height Power Adjust,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181210201_0103_1_2,Beds - Hi Lo With Companion Bed,"Hi-lo bed with second detachable bed for partner, detachment is to assist with care needs",EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181212202_0103_1_2,bed blocks,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181221203_0103_1_2,bed cradle- adjustable height,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181224204_0103_1_2,Bed Positioning System,Positioning cushions to help a participant maintain a consistent and optimal position while sleeping or resting.,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181227206_0103_1_2,Bed Rails Covers,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181227207_0103_1_2,Bed Rails,Rails which attach to a bed to prevent the participant falling out. Price guidance is for one bed rail.,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181233208_0103_1_2,Beds - Extensions,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181288205_0103_1_2,bed wedges (positioning),,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_181288206_0103_1_2,Bed,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_188800051_0103_1_2,adapted furniture - other,"Includes therapy cushions, conductive education furniture, hand grips mounted on furniture etc.",EA,N,,N,Assistive technology,05
Vision Equipment,05_220318209_0113_1_2,Image-Enlarging Video Systems - Zoom Text,Video system which magnifies text or pictures,EA,N,,N,Assistive technology,05
Vision Equipment,05_220318243_0113_1_2,Image-Enlarging Video Systems - Desk Top Magnifier,,EA,Y,,N,Assistive technology,05
Vision Equipment,05_220388244_0113_1_2,Other Vision Equipment Not Listed,,EA,Y,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_220600213_0119_1_2,hearing aid maintenance client contribution CSO client over 25 years (AH only),"Annual fee for hearing aid maintenance, batteries, consumables",YR,N,,N,Assistive technology,05
Hearing Services,05_220615215_0134_1_2,Hearing Aid (One) Higher Needs - Amount In Addition To OHS Subsidy,Hearing aid (one) higher needs-amount in addition to OHS subsidy,EA,Y,,N,Assistive technology,05
Hearing Services,05_220615216_0134_1_2,Hearing Aid (Two) Higher Needs - Amount In Addition To OHS Subsidy,Hearing aid (two) higher needs-amount in addition to OHS subsidy,EA,Y,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_220618229_0119_1_2,Vibro Tactile Devices,A device that picks up sound and transforms it into a vibrating signal that is felt by the user.,EA,Y,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_220621217_0119_1_2,Cochlear Implant Speech Processor And Coil - CSO - AH Only (In Kind),Cochlear implant speech processor and coil - CSO - AH only (in kind),EA,N,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_220621218_0119_1_2,External Components For Other Implantable Devices,External components for other implantable devices,EA,N,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_220621443_0119_1_2,Cochlear Implant Speech Processor And Coil - Non-CSO,Cochlear implant speech processor and coil - non CSO,EA,N,,N,Assistive technology,05
Hearing Services,05_220627220_0134_1_2,Hearing Aid Maintenance OHS Voucher Client Contribution,Hearing aid maintenance OHS voucher client contribution,EA,N,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_220627221_0119_1_2,Hearing Aid Replacement Fee (Lost Or Damaged Beyond Repair),Hearing aid replacement fee (lost or damaged beyond repair),EA,N,,N,Assistive technology,05
Hearing Equipment,05_220627222_0122_1_2,Personal Amplifiers/Binaural Listener,Assistive technology,EA,N,,N,Assistive technology,05
Hearing Equipment,05_220627227_0122_1_2,Remote Control For Hearing Aids,A remote control that enables changes to be made to hearing aids without touching the hearing devices. It allows access to volume and program changes for people with poor or nil manual dexterity and for use by carers.,EA,N,,N,Assistive technology,05
Hearing Equipment,05_220627228_0122_1_2,streamer,"Enable wireless access to accessories such as mobile phones, MP3 players and audio devices for hearing aid users.",EA,N,,N,Assistive technology,05
Hearing Equipment,05_220627230_0122_1_2,Music Devices,Portable couplers that allow hearing aid users to access music via audio devices.,EA,N,,N,Assistive technology,05
Hearing Equipment,05_220627232_0122_1_2,TV Device For Hearing Assistance,Systems for delivering sound directly from the TV to the ear,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_220903233_0124_1_2,Voice Generators,Device held to neck which picks up vibrations and amplifies as speech.,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_220906234_0124_1_2,Voice Amplifiers For Personal Use,Device to amplify voice.,EA,N,,N,Assistive technology,05
Vision Equipment,05_221200235_0113_1_2,assistive products for drawing and writing,,EA,N,,N,Assistive technology,05
Vision Equipment,05_221221236_0113_1_2,Portable Note-Taking Devices For Braille,,EA,Y,,N,Assistive technology,05
Communication And Information Equipment,05_221224237_0124_1_2,Word Processing Software,,EA,Y,,N,Assistive technology,05
Vision Equipment,05_221224238_0113_1_2,Word Processing Software For Alternate Access - Vision,e.g. jaws,EA,Y,,N,Assistive technology,05
Vision Equipment,05_221224239_0113_1_2,Word Processing Software For Alternate Access - Text Recognition Stand Alone,"e.g. clear reader, read easy",EA,N,,N,Assistive technology,05
Vision Equipment,05_221803240_0113_1_2,Sound Recording And Playing Devices,"A desk top unit which magnifies paper based or detailed small objects. For example, Daisy Player",EA,Y,,N,Assistive technology,05
Vision Equipment,05_221818241_0113_1_2,CCTV Electronic Magnification Unit,A desk top unit which magnifies paper based or detailed small objects.,EA,Y,,N,Assistive technology,05
Vision Equipment,05_221818242_0113_1_2,CCTV Electronic Magnification Unit - Portable,A hand held unit which magnifies paper based or detailed small objects.,EA,N,,N,Assistive technology,05
Vision Equipment,05_221821245_0113_1_2,decoders for videotext and text television,,EA,N,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_221824246_0119_1_2,Radio Frequency Transmission Systems For Hearing,"Remote microphone sound transmission systems can be used to overcome difficulties with distance, background noise and reverberation.",EA,Y,,N,Assistive technology,05
Hearing Equipment,05_221830247_0122_1_2,Induction Loop Devices,"Designed for individual use in private and public situations including  reception counters, meetings and other appointments.",EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_221833248_0124_1_2,microphones,,EA,N,,N,Assistive technology,05
Hearing Equipment,05_221836223_0122_1_2,loudspeakers,Assistive technology,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_222100249_0124_1_2,Face-To-Face Communication Assistive Products,"Communication boards accessed by pointing, eye gaze or other selection methods.",EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_222102250_0124_1_2,Communication Software For Computer Or Tablet,Software to convert a tablet or computer device to a communication device.,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_222102251_0124_1_2,Customised Commercial Tablet,,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_222103252_0124_1_2,Letter And Symbol Sets And Boards,Books or boards with letter symbols or pictures that assist with communication.,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_222106253_0124_1_2,Communication Amplifiers,Device to amplify voice,EA,N,,N,Assistive technology,05
Hearing Equipment,05_222106442_0122_1_2,remote microphone system,remote microphone system,EA,N,,N,Assistive technology,05
Hearing Equipment,05_222106443_0122_1_2,Remote Microphone System,Remote microphone system,EA,Y,,N,Assistive technology,05
Communication And Information Equipment,05_222109254_0124_1_2,Static - Single Button Device Which Provides Audible Message Output,,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_222109255_0124_1_2,Dynamic Display Dialogue Units,Communication device with customisable and changing screens which allows a highly customised voice output generation.,EA,Y,,N,Assistive technology,05
Communication And Information Equipment,05_222109256_0124_1_2,Text To Speech Device,Keyed input converting text to speech.,EA,Y,,N,Assistive technology,05
Hearing Equipment,05_222403225_0122_1_2,Adapted Landline Telephone,Assistive technology,EA,N,,N,Assistive technology,05
Vision Equipment,05_222406258_0113_1_2,Mobile Phone With Voice Output And Enlargement,,EA,N,,N,Assistive technology,05
Hearing Equipment,05_222421226_0122_1_2,telephone coupler,Small portable device that attaches to the earpiece of the telephone  and amplifies sound.,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_222421257_0124_1_2,accessories for telephoning,e.g. multipurpose big button switch,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_222704219_0123_1_2,Other Alarms And Door Bells,"Amplified, visual alert and/or vibratory alarms",EA,N,,N,Assistive technology,05
Hearing Equipment,05_222704266_0122_1_2,Baby Cry Alerting Systems For Hearing Impaired,Visual or vibrating alert,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_222712259_0123_1_2,adapted clocks,,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_222716260_0123_1_2,Programmable Memory Aids,,EA,N,,N,Assistive technology,05
Hearing Equipment,05_222721231_0122_1_2,Smoke Alarm Adapted For Hearing Impairment,Visual alert or vibrating smoke alarm packages,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_223003279_0124_1_2,Personal Reader - Speech Output,,EA,Y,,N,Assistive technology,05
Vision Equipment,05_223021210_0113_1_2,Audio Labellers,"Scanners or similar which reads symbol, bar codes or text",EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_223030280_0124_1_2,Personal Reader - Speech And Visual Output,,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_223088289_0112_1_2,adapted books,Books adapted with switches or other adaptions to enable a child or young person with disability to use them.,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_223603267_0124_1_2,keyboards/ key guards,Guards that assist a person in activating the right part of a screen or keyboard,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_223612268_0124_1_2,simple switches,"Including single input switches, pressure, touch, and puff.",EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_223612269_0124_1_2,switch adapted mouse,Computer mouse adapted for switch access.,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_223612273_0103_1_2,Electronic Input Device - Neural Or Neuromuscular - Annual Amount,,YR,N,,N,Assistive technology,05
Communication And Information Equipment,05_223618270_0124_1_2,Input Software i.e. Voice Activated Software,Software that allows non-manual or alternate access to a computer.,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_223621271_0124_1_2,Head Pointer,Assistive products to position screen pointer and to select items on computer display.,EA,Y,,N,Assistive technology,05
Communication And Information Equipment,05_223621272_0124_1_2,Eye Gaze System,Hardware and software that directs or selects inputs by gaze to activate a computer or communication device.,EA,Y,,N,Assistive technology,05
Vision Equipment,05_223905273_0113_1_2,Tactile Computer Displays,,EA,Y,,N,Assistive technology,05
Vision Equipment,05_223906274_0113_1_2,Braille Printers,,EA,Y,,N,Assistive technology,05
Vision Equipment,05_223906276_0113_1_2,Braille Embosser - Note-Taker With Voice Output,,EA,Y,,N,Assistive technology,05
Vision Equipment,05_223906279_0113_1_2,Braille Printers - Lease - Annual Amount,,YR,Y,,N,Assistive technology,05
Communication And Information Equipment,05_223907277_0124_1_2,Static Audible Player Display,,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_223907278_0124_1_2,Portable Audible Player For Computer,,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_241303281_0123_1_2,Environmental Control Systems,,EA,Y,,N,Assistive technology,05
Assistive Products For Household Tasks,05_241303282_0123_1_2,ECU Controlled Wireless Mains Socket,,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_241306283_0123_1_2,Environmental Control Software,,EA,Y,,N,Assistive technology,05
Communication And Information Equipment,05_242403284_0124_1_2,Fixed Position Systems - Mounting For Communication Device,Adjustable method of attaching communication device to wheelchair or furniture,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_300303288_0112_1_2,switch adapted toys,Toys adapted with switches or other adaptions to enable a child or young person with disability to use them.,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_300303290_0112_1_2,Other Toy Adaptions,,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_300303302_0112_1_2,Adapted Mobility Toy,,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_300309296_0112_1_2,Assistive Products For Audio Visual Gaming,Interfaces that allow a person with disability to access recreational gaming equipment when unable to do so through conventional routes.,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_300900292_0112_1_2,Sport Adaptions To Wheelchair (Power Or Manual),,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_300903294_0112_1_2,Wheelchair - Sports,,EA,Y,,N,Assistive technology,05
Assistive Equipment For Recreation,05_300912300_0112_1_2,specialised bowling equipment,,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_308800285_0112_1_2,Adapted Recreation Equipment - Other,"Products such as card holders, camera holders and adaptions to enable a person with disability to participate in recreational activity.",EA,Y,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_352_0119_1_2,Referral To Australian Hearing Community Service Obligation Program,For more info see http://hearingservices.gov.au/wps/portal/hso/site/eligibility/!ut/p/a1/04_Sj9CPykssy0xPLMnMz0vMAfGjzOJ9PA2MDI1MDLz8jc2NDDzNg0LNzExdDQ28TPULsh0VAaWtp70!/,EA,N,,N,Assistive technology,05
Assistance With Travel/Transport Arrangements,05_353_0108_1_2,Rental Of Adapted Vehicle,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_500433443_0103_1_2,Repairs - Personal Care/Safety - After-Hours (One Unit),"Repairs - personal care/safety, after-hours (one unit)",EA,N,,N,Assistive technology,05
Customised Prosthetics,05_500612441_0135_1_2,Orthotic Repair,Orthotic repair,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_500624304_0135_1_2,Minor Prosthetic Repair - Average Price,,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_500624305_0135_1_2,Major Prosthetic Repair - Average Price,,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_500933306_0103_1_2,Bathing And Toileting Equipment Repair,Repairs to any toileting and bathing equipment,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_501200307_0105_1_2,Repairs - Mobility Domain - Wheeled Mobility Minor Repair,Smaller repairs on newer chairs recently past warranty,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_501200308_0105_1_2,Repairs - Mobility Domain - Wheeled Mobility Major Repair,"Includes repairs for chairs usually over 4 years old, which may require work on actuators or other parts.",EA,Y,,N,Assistive technology,05
Vehicle Modifications,05_501212373_0109_1_2,Repair Vehicle Modification,"Repairs to specialist vehicle hoists, tie downs, driving adaptions",EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_501224309_0105_1_2,Tyres,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_501224310_0105_1_2,Battery Or Charger,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_501236025_0105_1_2,Transfer Equipment Repair,Transfer equipment repair,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_501288435_0105_1_2,Repairs - Mobility Domain - After-Hours (One Unit),"Repairs - mobility domain, after-hours (one unit)",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_501812311_0103_1_2,Electric Bed Repair,,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_502200312_0124_1_2,Communication Equipment Or ECU Repairs,Communication equipment or ECU repairs,EA,N,,N,Assistive technology,05
Specialised Hearing Services (Equipment Special Assess Setup),05_502206313_0119_1_2,Cochlear And Other Implantable Processor Repairs,Payable only if manufacturers invoice for repairs is retained,EA,N,,N,Assistive technology,05
Vision Equipment,05_502218315_0113_1_2,Vision Equipment Repair,,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_503000316_0112_1_2,Specialised Recreation Equipment Repairs,,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_700912325_0103_1_2,Toilet And Bathroom Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",H,N,,N,Assistive technology,05
Personal Mobility Equipment,05_701206326_0105_1_2,Walking Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_701236327_0105_1_2,Transfer Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_701809328_0103_1_2,Seating/Standing Frame Equipment Delivery To A Participant,"Equipment delivery, removal from wrapping, fitting/adjusting for participant’s disability specific needs and or training.",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_701809338_0103_1_2,Seating/Standing Frame Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_701812329_0103_1_2,Bed/Mattress Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping, fitting/adjusting for the participant’s disability specific needs and/or training in usage.",EA,N,,N,Assistive technology,05
Vision Equipment,05_702218330_0113_1_2,Vision Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping, fitting/adjusting for participant and or training.",EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_702288440_0124_1_2,Programming/Customisation Of Electronic Equipment,Programming / customisation of electronic equipment,H,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_702413331_0123_1_2,ECU Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping, fitting/adjusting for participant disability specific needs and/ or training.",EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_703000332_0112_1_2,Recreation Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping, set up adjustment and training for the participant's disability specific needs.",EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_705012333_0105_1_2,Mobility Equipment Delivery - Set Up/Training,"Equipment delivery, removal from wrapping ready, fitting/adjusting for participant and or training.",EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_710912335_0103_1_2,Toilet And Bathroom Equipment Delivery,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_711206336_0105_1_2,Walking Equipment Delivery To A Participant,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_711236337_0105_1_2,Transfer Equipment Delivery To A Participant,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_711812339_0103_1_2,Bed/Mattress Equipment Delivery To A Participant,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Vision Equipment,05_712218340_0113_1_2,Vision Equipment Delivery To A Participant,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_712413341_0123_1_2,ECU Equipment Delivery To A Participant,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_713000342_0112_1_2,Recreation Equipment Delivery To A Participant,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_715012343_0105_1_2,Mobility Equipment Delivery,Equipment delivery and removal from wrapping ready for use,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_718888439_0103_1_2,General Satchel/Post Delivery Of Equipment To A Participant,General satchel/post delivery of equipment to a participant,EA,N,,N,Assistive technology,05
Customised Prosthetics,05_800612438_0135_1_2,Orthotic Or Prosthetic Componentry Rental,Orthotic or prosthetic componentry rental,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_800912344_0103_1_2,Toilet And Bathroom Equipment Rental,Short term rental or hire of bathroom or toilet equipment,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_801206345_0105_1_2,Walking Equipment Rental,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_801236346_0105_1_2,Transfer Equipment Rental,Equipment rental -  per week,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_801288434_0103_1_2,Flexible Equipment Package (For Changing Need) - Annual Amount,Flexible equipment package (for changing need) - annual amount,EA,Y,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_801809436_0103_1_2,Seating/Standing Frame Equipment Rental ,Seating/standing frame equipment rental ,EA,N,,N,Assistive technology,05
Assistive Products For Personal Care And Safety,05_801812347_0103_1_2,Bed And Mattress Rental,Weekly rate,EA,N,,N,Assistive technology,05
Communication And Information Equipment,05_802200437_0124_1_2,Communication Equipment Rental,Communication equipment rental,EA,N,,N,Assistive technology,05
Vision Equipment,05_802218348_0113_1_2,Vision Equipment Rental,Weekly rate,EA,N,,N,Assistive technology,05
Assistive Products For Household Tasks,05_802413323_0123_1_2,ECU Rental,,EA,N,,N,Assistive technology,05
Assistive Equipment For Recreation,05_803000349_0112_1_2,Recreation Equipment Rental,,EA,N,,N,Assistive technology,05
Personal Mobility Equipment,05_805012350_0105_1_2,Mobility Equipment Rental,"Short term rental of personal mobility equipment, quote not required but marked this way to allow price adjustment.",EA,N,,N,Assistive technology,05
Assistance Animals (Other Innovative Supports),05_900101023_0130_1_2,Assistance Dog (Including Guide Dog),Assistance dog (including guide dog),EA,Y,,N,Assistive technology,05
Home Modification Design And Construction,06_121703375_0111_2_2,Stair Climber Directed By Attendant For Wheelchair,Portable tracked device which a wheelchair attaches to and then is tracked upstairs by attendant.,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_181806381_0111_2_2,Grab Rails - Internal Supply And Install,,EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_181806382_0111_2_2,Home Modifications - Rails - External,,EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_182403383_0111_2_2,Supply And Install Specialised Wall Taps,,EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_182488376_0111_2_2,Home Modifications - Bathroom Mod - Minimal Structural Work,"Moving a bath tub or enlarging a shower recess to improve access, or similar smaller work.",EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_182488377_0111_2_2,Home Modifications - Bathroom Mod - Extensive Structural Work,"Extensive structural  bathroom changes. For example, removal of a bath or hobless-shower, electrical work, relocating plumbing, widening doorway, waterproofing or changes to the fit-out such as toilet, tap ware, basin, shower, rails paint and tiles.",EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_182488378_0111_2_2,"Home Modifications - Bathroom Mod - Incl. Combining Bathroom, Toilet Or Laundry","Modifications to combine bathroom, toilet and laundry. Includes  bath removal, hobless shower creation, plumbing relocation, electrical work, doorway changes, waterproofing and changes to bathroom fittings.",EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_182488379_0111_2_2,Home Modifications - Kitchen Adaption - No Structural Work,Modifications to a kitchen to enable a person with disability to access and use it.,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_182488380_0111_2_2,Home Modifications - Minor Miscellaneous Adjustments,"Lower cost adaptions such as door adjustments, safety installations and bathroom fittings.",EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_183003384_0111_2_2,Elevator - Home,,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183005385_0111_2_2,Fixed Vertical Lifting Platform - Home,Platform attached to stairs or vertical drop which a wheelchair or scooter rides on.,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183007386_0111_2_2,Free Standing Vertical Lifting Platform - Home,Non enclosed lifting platform similar to a lift usually traversing smaller distances than an enclosed lift/ elevator.,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183010387_0111_2_2,Stair Lift With Seat,Seat and rails attached to stairs or incline for ambulant person to ride up stairs on.,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183011388_0111_2_2,Stair Lift With Platform,Platform attached to rail or track to traverse person over stairs to upper or lower levels.,EA,Y,,N,Home modifications,06
Assistive Products For Personal Care And Safety,06_183015389_0103_2_2,Ramp Portable Fibre Glass - 1200mm,Portable ramp suitable for outings etc but not permanently affixed,EA,N,,N,Home modifications,06
Assistive Products For Personal Care And Safety,06_183015390_0103_2_2,Ramp Portable Fibre Glass - 1650mm,Portable ramp suitable for outings etc but not permanently affixed,EA,N,,N,Home modifications,06
Assistive Products For Personal Care And Safety,06_183015391_0103_2_2,Ramp Portable Fibre Glass - 1350mm,Portable ramp suitable for outings etc but not permanently affixed,EA,N,,N,Home modifications,06
Assistive Products For Personal Care And Safety,06_183015392_0103_2_2,Ramp Portable Fibre Glass - 2000mm,Portable ramp suitable for outings etc but not permanently affixed,EA,Y,,N,Home modifications,06
Assistive Products For Personal Care And Safety,06_183015393_0103_2_2,Ramp Portable Fibre Glass - 2000mm With Edge,Portable ramp suitable for outings etc but not permanently affixed,EA,Y,,N,Home modifications,06
Assistive Products For Personal Care And Safety,06_183015394_0103_2_2,Ramp Portable Fibre Glass - 875mm,Portable ramp suitable for outings etc but not permanently affixed,EA,N,,N,Home modifications,06
Assistive Products For Personal Care And Safety,06_183015395_0103_2_2,Ramp Portable Fibre Glass - 700mm,Portable ramp suitable for outings etc but not permanently affixed,EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_183018396_0111_2_2,Ramps Timber With Galvanised Rails - 300 Per Lineal Meter,Permanently installed timber ramp with galvanised rails,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183018397_0111_2_2,Ramps Concrete With Galvanised Rails - 400 Per Lineal Meter,Permanently installed concrete ramp with galvanised rails,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183018398_0111_2_2,Ramps Modular Aluminium Removable - 2400mm X 1200mm,Temporary removable ramps which are not portable,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183018399_0111_2_2,Ramps Modular Aluminium Removable - 600mm X 1200mm,Temporary removable ramps which are not portable,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183018400_0111_2_2,Ramps Modular Aluminium Removable - 2400mm X 1800 (Landing) mm,Temporary removable ramps which are not portable,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183018401_0111_2_2,Ramps Modular Aluminium Removable - 1200mm X 1200 (Landing) mm,Temporary removable ramps which are not portable,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_183018402_0111_2_2,Home Mods-Minor Step Ramp- Supply And Fit Landings And Risers,,EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_183018403_0111_2_2,"Home Mods-Minor Step Ramp- Supply And Fit Landings, Risers And Bilateral H'Rails",,EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_183315404_0111_2_2,Slip Resistant Tile Coating - Approx. 5m X 5m,,EA,N,,N,Home modifications,06
Home Modification Design And Construction,06_405_0111_2_2,Certification Or Approval Of Home Modifications,Certifier independent of a builder who can advise on the compliance of plans with the necessary work undertaken.,EA,Y,,N,Home modifications,06
Home Modification Design And Construction,06_406_0111_2_2,Home Modifications Project Manager Or Building Certifier,Project manager or building certifier employed to ensure compliance with modifications plans to allow home access by person with disability.,EA,Y,,N,Home modifications,06
